bench, mem, temp, row_size, row_count, col_count, cycles
q1, c, -, 64, 32768, 4, 170602
q1, r, c, 64, 32768, 4, 289628
q1, r, h, 64, 32768, 4, 285771
q1, d, -, 64, 32768, 4, 459296
q1, c, -, 64, 32768, 4, 171416
q1, r, c, 64, 32768, 4, 289667
q1, r, h, 64, 32768, 4, 289408
q1, d, -, 64, 32768, 4, 457391
q1, c, -, 64, 32768, 4, 169196
q1, r, c, 64, 32768, 4, 287155
q1, r, h, 64, 32768, 4, 287198
q1, d, -, 64, 32768, 4, 456711
q1, c, -, 64, 32768, 4, 172175
q1, r, c, 64, 32768, 4, 289837
q1, r, h, 64, 32768, 4, 296246
q1, d, -, 64, 32768, 4, 461693
q1, c, -, 64, 32768, 4, 169860
q1, r, c, 64, 32768, 4, 289599
q1, r, h, 64, 32768, 4, 286676
q1, d, -, 64, 32768, 4, 456316
q1, c, -, 64, 32768, 4, 169662
q1, r, c, 64, 32768, 4, 289877
q1, r, h, 64, 32768, 4, 290119
q1, d, -, 64, 32768, 4, 469614
q1, c, -, 64, 32768, 4, 170366
q1, r, c, 64, 32768, 4, 287190
q1, r, h, 64, 32768, 4, 287899
q1, d, -, 64, 32768, 4, 459105
q1, c, -, 64, 32768, 4, 171600
q1, r, c, 64, 32768, 4, 293821
q1, r, h, 64, 32768, 4, 286249
q1, d, -, 64, 32768, 4, 459411
q1, c, -, 64, 32768, 4, 170893
q1, r, c, 64, 32768, 4, 289456
q1, r, h, 64, 32768, 4, 286689
q1, d, -, 64, 32768, 4, 456770
q1, c, -, 64, 32768, 4, 170128
q1, r, c, 64, 32768, 4, 290090
q1, r, h, 64, 32768, 4, 287004
q1, d, -, 64, 32768, 4, 488918
q1, c, -, 64, 32768, 4, 172719
q1, r, c, 64, 32768, 4, 287156
q1, r, h, 64, 32768, 4, 287256
q1, d, -, 64, 32768, 4, 456674
q1, c, -, 64, 32768, 4, 173027
q1, r, c, 64, 32768, 4, 357162
q1, r, h, 64, 32768, 4, 353680
q1, d, -, 64, 32768, 4, 560552
q1, c, -, 64, 32768, 4, 170087
q1, r, c, 64, 32768, 4, 350755
q1, r, h, 64, 32768, 4, 349005
q1, d, -, 64, 32768, 4, 582009
q1, c, -, 64, 32768, 4, 171116
q1, r, c, 64, 32768, 4, 350739
q1, r, h, 64, 32768, 4, 350593
q1, d, -, 64, 32768, 4, 561627
q1, c, -, 64, 32768, 4, 170343
q1, r, c, 64, 32768, 4, 353768
q1, r, h, 64, 32768, 4, 352955
q1, d, -, 64, 32768, 4, 561924
q1, c, -, 64, 32768, 4, 174383
q1, r, c, 64, 32768, 4, 353545
q1, r, h, 64, 32768, 4, 350132
q1, d, -, 64, 32768, 4, 561066
q1, c, -, 64, 32768, 4, 174742
q1, r, c, 64, 32768, 4, 352901
q1, r, h, 64, 32768, 4, 357409
q1, d, -, 64, 32768, 4, 564178
q1, c, -, 64, 32768, 4, 170854
q1, r, c, 64, 32768, 4, 353311
q1, r, h, 64, 32768, 4, 363829
q1, d, -, 64, 32768, 4, 563480
q1, c, -, 64, 32768, 4, 172320
q1, r, c, 64, 32768, 4, 354976
q1, r, h, 64, 32768, 4, 361549
