bench, mem, temp, row_size, row_count, col_width, offset, cycles, v3
q1, d, h, 64, 32768, 8, 0, 85677
q1, r, c, 64, 32768, 8, 0, 874646
q1, d, c, 64, 32768, 8, 0, 86366
q1, r, h, 64, 32768, 8, 0, 50669
q1, d, h, 64, 32768, 8, 0, 85675
q1, r, c, 64, 32768, 8, 0, 874653
q1, d, c, 64, 32768, 8, 0, 86557
q1, r, h, 64, 32768, 8, 0, 50641
q1, d, h, 64, 32768, 8, 0, 88074
q1, r, c, 64, 32768, 8, 0, 874622
q1, d, c, 64, 32768, 8, 0, 87515
q1, r, h, 64, 32768, 8, 0, 50671
q1, d, h, 64, 32768, 8, 0, 90174
q1, r, c, 64, 32768, 8, 0, 874782
q1, d, c, 64, 32768, 8, 0, 86254
q1, r, h, 64, 32768, 8, 0, 50672
q1, d, h, 64, 32768, 8, 0, 85404
q1, r, c, 64, 32768, 8, 0, 874780
q1, d, c, 64, 32768, 8, 0, 86337
q1, r, h, 64, 32768, 8, 0, 50608
q1, d, h, 64, 32768, 8, 0, 85213
q1, r, c, 64, 32768, 8, 0, 874746
q1, d, c, 64, 32768, 8, 0, 86228
q1, r, h, 64, 32768, 8, 0, 53898
q1, d, h, 64, 32768, 8, 0, 86155
q1, r, c, 64, 32768, 8, 0, 874663
q1, d, c, 64, 32768, 8, 0, 88821
q1, r, h, 64, 32768, 8, 0, 50674
q1, d, h, 64, 32768, 8, 0, 89977
q1, r, c, 64, 32768, 8, 0, 874631
q1, d, c, 64, 32768, 8, 0, 86228
q1, r, h, 64, 32768, 8, 0, 50648
q1, d, h, 64, 32768, 8, 0, 85753
q1, r, c, 64, 32768, 8, 0, 874636
q1, d, c, 64, 32768, 8, 0, 85971
q1, r, h, 64, 32768, 8, 0, 53510
q1, d, h, 64, 32768, 8, 0, 85758
q1, r, c, 64, 32768, 8, 0, 874645
q1, d, c, 64, 32768, 8, 0, 86112
q1, r, h, 64, 32768, 8, 0, 50679
