bench, mem, row_size, row_count, col_width, access_time, hash_time
qjoin, d, 64, 32768, 8, 1339096, 3393646
qjoin, r, 64, 32768, 8, 957176, 3390257
qjoin, d, 64, 32768, 8, 1334855, 3401343
qjoin, r, 64, 32768, 8, 972592, 3408281
qjoin, d, 64, 32768, 8, 1346031, 3428244
qjoin, r, 64, 32768, 8, 983449, 3393939
qjoin, d, 64, 32768, 8, 1325748, 3403979
qjoin, r, 64, 32768, 8, 960179, 3384157
qjoin, d, 64, 32768, 8, 1336002, 3393113
qjoin, r, 64, 32768, 8, 965283, 3381570
qjoin, d, 64, 32768, 8, 1338877, 3420772
qjoin, r, 64, 32768, 8, 973471, 3407418
qjoin, d, 64, 32768, 8, 1344629, 3459484
qjoin, r, 64, 32768, 8, 965348, 3394330
qjoin, d, 64, 32768, 8, 1327009, 3387205
qjoin, r, 64, 32768, 8, 970160, 3398913
qjoin, d, 64, 32768, 8, 1339126, 3413035
qjoin, r, 64, 32768, 8, 958276, 3388303
qjoin, d, 64, 32768, 8, 1342001, 3399680
qjoin, r, 64, 32768, 8, 972716, 3398575
qjoin, d, 64, 32768, 8, 1346774, 3386376
qjoin, r, 64, 32768, 16, 1301454, 3472861
qjoin, d, 64, 32768, 16, 1479161, 3609269
qjoin, r, 64, 32768, 16, 1300905, 3449750
qjoin, d, 64, 32768, 16, 1478020, 3596795
qjoin, r, 64, 32768, 16, 1296878, 3463915
qjoin, d, 64, 32768, 16, 1482306, 3595530
qjoin, r, 64, 32768, 16, 1301775, 3470687
qjoin, d, 64, 32768, 16, 1488096, 3607902
qjoin, r, 64, 32768, 16, 1298239, 3513330
qjoin, d, 64, 32768, 16, 1496308, 3657848
qjoin, r, 64, 32768, 16, 1300389, 3455097
qjoin, d, 64, 32768, 16, 1481275, 3582263
qjoin, r, 64, 32768, 16, 1299537, 3470398
qjoin, d, 64, 32768, 16, 1478279, 3598413
qjoin, r, 64, 32768, 16, 1296584, 3465988
qjoin, d, 64, 32768, 16, 1516430, 3586142
qjoin, r, 64, 32768, 16, 1300869, 3452856
qjoin, d, 64, 32768, 16, 1483724, 3587047
qjoin, r, 64, 32768, 16, 1299356, 3455446
qjoin, d, 64, 32768, 16, 1474448, 3601061
qjoin, r, 64, 32768, 16, 1299589, 3450765
qjoin, d, 64, 32768, 16, 1480970, 3583586
qjoin, r, 64, 32768, 16, 1303923, 3461229
qjoin, d, 64, 32768, 16, 1485299, 3585073
qjoin, r, 64, 32768, 16, 1299239, 3463792
qjoin, d, 64, 32768, 16, 1475189, 3599657
qjoin, r, 64, 32768, 16, 1303715, 3502629
qjoin, d, 64, 32768, 16, 1485655, 3651446
qjoin, r, 64, 32768, 16, 1298713, 3462913
qjoin, d, 64, 32768, 16, 1480256, 3587325
qjoin, r, 64, 32768, 16, 1300778, 3507360
qjoin, d, 64, 32768, 16, 1489910, 3665113
qjoin, r, 64, 32768, 16, 1299501, 3489402
qjoin, d, 64, 32768, 16, 1482807, 3602826
qjoin, r, 64, 32768, 16, 1301787, 3504540
qjoin, d, 64, 32768, 16, 1482953, 3647647
qjoin, r, 64, 32768, 16, 1305737, 3502088
qjoin, d, 64, 32768, 16, 1477222, 3665707
qjoin, r, 64, 32768, 16, 1302855, 3459601
qjoin, d, 64, 32768, 16, 1480995, 3591383
qjoin, r, 64, 32768, 16, 1298793, 3465403
qjoin, d, 64, 32768, 16, 1483304, 3596862
qjoin, r, 64, 32768, 16, 1300662, 3458317
qjoin, d, 64, 32768, 16, 1504441, 3574042
qjoin, r, 64, 32768, 16, 1298524, 3458291
qjoin, d, 64, 32768, 16, 1483759, 3587222
qjoin, r, 64, 32768, 16, 1298447, 3453680
qjoin, d, 64, 32768, 16, 1481137, 3585487
qjoin, r, 64, 32768, 16, 1300312, 3482616
qjoin, d, 64, 32768, 16, 1483140, 3598014
qjoin, r, 64, 32768, 16, 1299074, 3460144
qjoin, d, 64, 32768, 16, 1480288, 3584226
qjoin, r, 64, 32768, 16, 1297759, 3474545
qjoin, d, 64, 32768, 16, 1483618, 3599955
qjoin, r, 64, 32768, 16, 1300260, 3463665
qjoin, d, 64, 32768, 16, 1482006, 3602530
qjoin, r, 64, 32768, 16, 1301655, 3464241
qjoin, d, 64, 32768, 16, 1482321, 3585531
qjoin, r, 64, 32768, 16, 1301845, 3478626
qjoin, d, 64, 32768, 16, 1480651, 3601273
