bench, mem, temp, row_size, row_count, col_width, offset, cycles
sum, d, h, 64, 262144, 4, 3, 672884
sum, r, c, 64, 262144, 4, 3, 6996940
sum, d, c, 64, 262144, 4, 3, 678194
sum, r, h, 64, 262144, 4, 3, 444868
sum, d, h, 64, 262144, 4, 3, 656048
sum, r, c, 64, 262144, 4, 3, 6996916
sum, d, c, 64, 262144, 4, 3, 655261
sum, r, h, 64, 262144, 4, 3, 444509
sum, d, h, 64, 262144, 4, 3, 656721
sum, r, c, 64, 262144, 4, 3, 6996885
sum, d, c, 64, 262144, 4, 3, 655709
sum, r, h, 64, 262144, 4, 3, 444671
sum, d, h, 64, 262144, 4, 3, 659766
sum, r, c, 64, 262144, 4, 3, 6996887
sum, d, c, 64, 262144, 4, 3, 656605
sum, r, h, 64, 262144, 4, 3, 447194
sum, d, h, 64, 262144, 4, 3, 655035
sum, r, c, 64, 262144, 4, 3, 6996902
sum, d, c, 64, 262144, 4, 3, 689824
sum, r, h, 64, 262144, 4, 3, 448107
sum, d, h, 64, 262144, 4, 3, 655508
sum, r, c, 64, 262144, 4, 4, 6996694
sum, d, c, 64, 262144, 4, 4, 656564
sum, r, h, 64, 262144, 4, 4, 445922
sum, d, h, 64, 262144, 4, 4, 656501
sum, r, c, 64, 262144, 4, 4, 6996877
sum, d, c, 64, 262144, 4, 4, 655785
sum, r, h, 64, 262144, 4, 4, 445035
sum, d, h, 64, 262144, 4, 4, 659878
sum, r, c, 64, 262144, 4, 4, 6996827
sum, d, c, 64, 262144, 4, 4, 655426
sum, r, h, 64, 262144, 4, 4, 444588
sum, d, h, 64, 262144, 4, 4, 685957
sum, r, c, 64, 262144, 4, 4, 6997010
sum, d, c, 64, 262144, 4, 4, 692296
sum, r, h, 64, 262144, 4, 4, 444911
sum, d, h, 64, 262144, 4, 4, 654850
sum, r, c, 64, 262144, 4, 4, 6996669
sum, d, c, 64, 262144, 4, 4, 671243
sum, r, h, 64, 262144, 4, 4, 446082
sum, d, h, 64, 262144, 4, 4, 655850
sum, r, c, 64, 262144, 4, 4, 6996848
sum, d, c, 64, 262144, 4, 4, 656065
sum, r, h, 64, 262144, 4, 4, 446746
sum, d, h, 64, 262144, 4, 4, 659576
sum, r, c, 64, 262144, 4, 4, 6996737
sum, d, c, 64, 262144, 4, 4, 674804
sum, r, h, 64, 262144, 4, 4, 447341
sum, d, h, 64, 262144, 4, 4, 655491
sum, r, c, 64, 262144, 4, 4, 6996857
sum, d, c, 64, 262144, 4, 4, 657839
sum, r, h, 64, 262144, 4, 4, 466000
sum, d, h, 64, 262144, 4, 4, 658931
sum, r, c, 64, 262144, 4, 4, 6996718
sum, d, c, 64, 262144, 4, 4, 656472
sum, r, h, 64, 262144, 4, 4, 445352
sum, d, h, 64, 262144, 4, 4, 676235
sum, r, c, 64, 262144, 4, 4, 6996806
sum, d, c, 64, 262144, 4, 4, 683752
sum, r, h, 64, 262144, 4, 4, 446450
sum, d, h, 64, 262144, 4, 4, 661781
sum, r, c, 64, 262144, 4, 4, 6996828
sum, d, c, 64, 262144, 4, 4, 655692
sum, r, h, 64, 262144, 4, 4, 444868
sum, d, h, 64, 262144, 4, 4, 654873
sum, r, c, 64, 262144, 4, 4, 6996715
sum, d, c, 64, 262144, 4, 4, 655387
sum, r, h, 64, 262144, 4, 4, 445882
sum, d, h, 64, 262144, 4, 4, 655105
sum, r, c, 64, 262144, 4, 4, 6996698
sum, d, c, 64, 262144, 4, 4, 657558
sum, r, h, 64, 262144, 4, 4, 445865
sum, d, h, 64, 262144, 4, 4, 656426
sum, r, c, 64, 262144, 4, 4, 6996946
sum, d, c, 64, 262144, 4, 4, 657256
sum, r, h, 64, 262144, 4, 4, 446319
sum, d, h, 64, 262144, 4, 4, 656931
sum, r, c, 64, 262144, 4, 4, 6996698
sum, d, c, 64, 262144, 4, 4, 655871
sum, r, h, 64, 262144, 4, 4, 448185
sum, d, h, 64, 262144, 4, 4, 679339
sum, r, c, 64, 262144, 4, 4, 6996705
sum, d, c, 64, 262144, 4, 4, 656390
sum, r, h, 64, 262144, 4, 4, 444822
sum, d, h, 64, 262144, 4, 4, 655848
sum, r, c, 64, 262144, 4, 4, 6996856
sum, d, c, 64, 262144, 4, 4, 658108
sum, r, h, 64, 262144, 4, 4, 446311
sum, d, h, 64, 262144, 4, 4, 656145
sum, r, c, 64, 262144, 4, 4, 6996778
sum, d, c, 64, 262144, 4, 4, 655464
sum, r, h, 64, 262144, 4, 4, 444993
sum, d, h, 64, 262144, 4, 4, 657613
sum, r, c, 64, 262144, 4, 4, 6996663
sum, d, c, 64, 262144, 4, 4, 660781
sum, r, h, 64, 262144, 4, 4, 448937
sum, d, h, 64, 262144, 4, 4, 655078
sum, r, c, 64, 262144, 4, 4, 6996686
sum, d, c, 64, 262144, 4, 4, 657680
sum, r, h, 64, 262144, 4, 4, 463846
sum, d, h, 64, 262144, 4, 4, 667989
sum, r, c, 64, 262144, 4, 4, 6996720
sum, d, c, 64, 262144, 4, 4, 687149
sum, r, h, 64, 262144, 4, 4, 445950
sum, d, h, 64, 262144, 4, 4, 656841
sum, r, c, 64, 262144, 4, 4, 6996791
sum, d, c, 64, 262144, 4, 4, 658044
sum, r, h, 64, 262144, 4, 4, 447812
sum, d, h, 64, 262144, 4, 4, 690773
sum, r, c, 64, 262144, 4, 4, 6996792
sum, d, c, 64, 262144, 4, 4, 655579
sum, r, h, 64, 262144, 4, 4, 447761
sum, d, h, 64, 262144, 4, 4, 663598
sum, r, c, 64, 262144, 4, 4, 6996784
sum, d, c, 64, 262144, 4, 4, 655804
sum, r, h, 64, 262144, 4, 4, 445613
sum, d, h, 64, 262144, 4, 4, 655304
sum, r, c, 64, 262144, 4, 4, 6996647
sum, d, c, 64, 262144, 4, 4, 679202
sum, r, h, 64, 262144, 4, 4, 446638
sum, d, h, 64, 262144, 4, 4, 656249
sum, r, c, 64, 262144, 4, 4, 6996834
sum, d, c, 64, 262144, 4, 4, 694916
sum, r, h, 64, 262144, 4, 4, 466073
sum, d, h, 64, 262144, 4, 4, 691577
sum, r, c, 64, 262144, 4, 4, 6996659
sum, d, c, 64, 262144, 4, 4, 669481
sum, r, h, 64, 262144, 4, 4, 444763
sum, d, h, 64, 262144, 4, 4, 661847
