bench, mem, temp, row_size, row_count, col_width, offset, cycles, v1
q1, r, c, 64, 32768, 4, 0, 1480384
q1, d, c, 64, 32768, 4, 0, 86665
q1, r, h, 64, 32768, 4, 0, 49933
q1, d, h, 64, 32768, 4, 0, 86600
q1, r, c, 64, 32768, 4, 0, 1480388
q1, d, c, 64, 32768, 4, 0, 86906
q1, r, h, 64, 32768, 4, 0, 49931
q1, d, h, 64, 32768, 4, 0, 85616
q1, r, c, 64, 32768, 4, 0, 1480236
q1, d, c, 64, 32768, 4, 0, 86819
q1, r, h, 64, 32768, 4, 0, 49934
q1, d, h, 64, 32768, 4, 0, 87938
q1, r, c, 64, 32768, 4, 0, 1480315
q1, d, c, 64, 32768, 4, 0, 86758
q1, r, h, 64, 32768, 4, 0, 49938
q1, d, h, 64, 32768, 4, 0, 112675
q1, r, c, 64, 32768, 4, 0, 1480194
q1, d, c, 64, 32768, 4, 0, 87907
q1, r, h, 64, 32768, 4, 0, 49934
q1, d, h, 64, 32768, 4, 0, 88413
q1, r, c, 64, 32768, 4, 0, 1480171
q1, d, c, 64, 32768, 4, 0, 90691
q1, r, h, 64, 32768, 4, 0, 49933
q1, d, h, 64, 32768, 4, 0, 85638
q1, r, c, 64, 32768, 4, 0, 1480601
q1, d, c, 64, 32768, 4, 0, 86930
q1, r, h, 64, 32768, 4, 0, 49933
q1, d, h, 64, 32768, 4, 0, 85574
q1, r, c, 64, 32768, 4, 0, 1480194
q1, d, c, 64, 32768, 4, 0, 86612
q1, r, h, 64, 32768, 4, 0, 49925
q1, d, h, 64, 32768, 4, 0, 105785
q1, r, c, 64, 32768, 4, 0, 1480558
q1, d, c, 64, 32768, 4, 0, 89917
q1, r, h, 64, 32768, 4, 0, 49938
q1, d, h, 64, 32768, 4, 0, 85701
q1, r, c, 64, 32768, 4, 0, 1480316
q1, d, c, 64, 32768, 4, 0, 87044
q1, r, h, 64, 32768, 4, 0, 49919
q1, d, h, 64, 32768, 4, 0, 85556
q1, r, c, 64, 32768, 8, 0, 1479861
q1, d, c, 64, 32768, 8, 0, 87553
q1, r, h, 64, 32768, 8, 0, 50608
q1, d, h, 64, 32768, 8, 0, 85980
q1, r, c, 64, 32768, 8, 0, 1480552
q1, d, c, 64, 32768, 8, 0, 86305
q1, r, h, 64, 32768, 8, 0, 54297
q1, d, h, 64, 32768, 8, 0, 85752
q1, r, c, 64, 32768, 8, 0, 1480801
q1, d, c, 64, 32768, 8, 0, 86294
q1, r, h, 64, 32768, 8, 0, 50610
q1, d, h, 64, 32768, 8, 0, 85152
q1, r, c, 64, 32768, 8, 0, 1480475
q1, d, c, 64, 32768, 8, 0, 86282
q1, r, h, 64, 32768, 8, 0, 50607
q1, d, h, 64, 32768, 8, 0, 88927
q1, r, c, 64, 32768, 8, 0, 1481210
q1, d, c, 64, 32768, 8, 0, 86290
q1, r, h, 64, 32768, 8, 0, 50609
q1, d, h, 64, 32768, 8, 0, 85239
q1, r, c, 64, 32768, 8, 0, 1480534
q1, d, c, 64, 32768, 8, 0, 86398
q1, r, h, 64, 32768, 8, 0, 50608
q1, d, h, 64, 32768, 8, 0, 88536
q1, r, c, 64, 32768, 8, 0, 1480115
q1, d, c, 64, 32768, 8, 0, 86334
q1, r, h, 64, 32768, 8, 0, 50615
q1, d, h, 64, 32768, 8, 0, 85950
q1, r, c, 64, 32768, 8, 0, 1480232
q1, d, c, 64, 32768, 8, 0, 86013
q1, r, h, 64, 32768, 8, 0, 50605
q1, d, h, 64, 32768, 8, 0, 85475
q1, r, c, 64, 32768, 8, 0, 1480432
q1, d, c, 64, 32768, 8, 0, 87037
q1, r, h, 64, 32768, 8, 0, 50611
q1, d, h, 64, 32768, 8, 0, 88704
q1, r, c, 64, 32768, 8, 0, 1480021
q1, d, c, 64, 32768, 8, 0, 86152
q1, r, h, 64, 32768, 8, 0, 52400
q1, d, h, 64, 32768, 8, 0, 85713
q1, r, c, 64, 32768, 8, 0, 1480735
q1, d, c, 64, 32768, 8, 0, 86641
q1, r, h, 64, 32768, 8, 0, 50607
q1, d, h, 64, 32768, 8, 0, 85399
q1, r, c, 64, 32768, 8, 0, 1479752
q1, d, c, 64, 32768, 8, 0, 86716
q1, r, h, 64, 32768, 8, 0, 50613
q1, d, h, 64, 32768, 8, 0, 87770
q1, r, c, 64, 32768, 8, 0, 1480725
q1, d, c, 64, 32768, 8, 0, 86343
q1, r, h, 64, 32768, 8, 0, 50617
q1, d, h, 64, 32768, 8, 0, 85615
q1, r, c, 64, 32768, 8, 0, 1480591
q1, d, c, 64, 32768, 8, 0, 86174
q1, r, h, 64, 32768, 8, 0, 50608
q1, d, h, 64, 32768, 8, 0, 90739
q1, r, c, 64, 32768, 8, 0, 1480847
q1, d, c, 64, 32768, 8, 0, 86582
q1, r, h, 64, 32768, 8, 0, 50613
q1, d, h, 64, 32768, 8, 0, 85541
q1, r, c, 64, 32768, 8, 0, 1480313
q1, d, c, 64, 32768, 8, 0, 86866
q1, r, h, 64, 32768, 8, 0, 50615
q1, d, h, 64, 32768, 8, 0, 86196
q1, r, c, 64, 32768, 8, 0, 1480244
q1, d, c, 64, 32768, 8, 0, 86052
q1, r, h, 64, 32768, 8, 0, 50609
q1, d, h, 64, 32768, 8, 0, 88068
q1, r, c, 64, 32768, 8, 0, 1480313
q1, d, c, 64, 32768, 8, 0, 86148
q1, r, h, 64, 32768, 8, 0, 50616
q1, d, h, 64, 32768, 8, 0, 85405
q1, r, c, 64, 32768, 8, 0, 1480966
q1, d, c, 64, 32768, 8, 0, 86627
q1, r, h, 64, 32768, 8, 0, 72100
q1, d, h, 64, 32768, 8, 0, 85682
q1, r, c, 64, 32768, 8, 0, 1479956
q1, d, c, 64, 32768, 8, 0, 87981
q1, r, h, 64, 32768, 8, 0, 50608
q1, d, h, 64, 32768, 8, 0, 85134
q1, r, c, 64, 32768, 8, 0, 1480263
q1, d, c, 64, 32768, 8, 0, 86389
q1, r, h, 64, 32768, 8, 0, 50614
q1, d, h, 64, 32768, 8, 0, 85714
q1, r, c, 64, 32768, 8, 0, 1480396
q1, d, c, 64, 32768, 8, 0, 90262
q1, r, h, 64, 32768, 8, 0, 50608
q1, d, h, 64, 32768, 8, 0, 85621
q1, r, c, 64, 32768, 8, 0, 1480661
q1, d, c, 64, 32768, 8, 0, 86573
q1, r, h, 64, 32768, 8, 0, 50616
q1, d, h, 64, 32768, 8, 0, 85386
q1, r, c, 64, 32768, 8, 0, 1480239
q1, d, c, 64, 32768, 8, 0, 88095
q1, r, h, 64, 32768, 8, 0, 50607
q1, d, h, 64, 32768, 8, 0, 85733
q1, r, c, 64, 32768, 8, 0, 1480657
q1, d, c, 64, 32768, 8, 0, 86113
q1, r, h, 64, 32768, 8, 0, 50608
q1, d, h, 64, 32768, 8, 0, 85234
q1, r, c, 64, 32768, 8, 0, 1480863
q1, d, c, 64, 32768, 8, 0, 88298
q1, r, h, 64, 32768, 8, 0, 50608
q1, d, h, 64, 32768, 8, 0, 85280
q1, r, c, 64, 32768, 8, 0, 1480393
q1, d, c, 64, 32768, 8, 0, 86243
q1, r, h, 64, 32768, 8, 0, 50614
q1, d, h, 64, 32768, 8, 0, 85265
q1, r, c, 64, 32768, 8, 0, 1480298
q1, d, c, 64, 32768, 8, 0, 86322
q1, r, h, 64, 32768, 8, 0, 50610
q1, d, h, 64, 32768, 8, 0, 85768
q1, r, c, 64, 32768, 8, 0, 1480609
q1, d, c, 64, 32768, 8, 0, 86197
q1, r, h, 64, 32768, 8, 0, 50620
q1, d, h, 64, 32768, 8, 0, 88052
q1, r, c, 64, 32768, 16, 0, 1473520
q1, d, c, 64, 32768, 16, 0, 89472
q1, r, h, 64, 32768, 16, 0, 76272
q1, d, h, 64, 32768, 16, 0, 90074
q1, r, c, 64, 32768, 16, 0, 1475594
q1, d, c, 64, 32768, 16, 0, 87406
q1, r, h, 64, 32768, 16, 0, 76328
q1, d, h, 64, 32768, 16, 0, 87478
q1, r, c, 64, 32768, 16, 0, 1476583
q1, d, c, 64, 32768, 16, 0, 87517
q1, r, h, 64, 32768, 16, 0, 76262
q1, d, h, 64, 32768, 16, 0, 87415
q1, r, c, 64, 32768, 16, 0, 1477977
q1, d, c, 64, 32768, 16, 0, 87639
q1, r, h, 64, 32768, 16, 0, 79755
q1, d, h, 64, 32768, 16, 0, 87185
q1, r, c, 64, 32768, 16, 0, 1476565
q1, d, c, 64, 32768, 16, 0, 88732
q1, r, h, 64, 32768, 16, 0, 76333
q1, d, h, 64, 32768, 16, 0, 87490
q1, r, c, 64, 32768, 16, 0, 1475704
q1, d, c, 64, 32768, 16, 0, 87634
q1, r, h, 64, 32768, 16, 0, 76273
q1, d, h, 64, 32768, 16, 0, 87475
q1, r, c, 64, 32768, 16, 0, 1475748
q1, d, c, 64, 32768, 16, 0, 87889
q1, r, h, 64, 32768, 16, 0, 76330
q1, d, h, 64, 32768, 16, 0, 87021
q1, r, c, 64, 32768, 16, 0, 1474350
q1, d, c, 64, 32768, 16, 0, 87709
q1, r, h, 64, 32768, 16, 0, 76208
q1, d, h, 64, 32768, 16, 0, 89576
q1, r, c, 64, 32768, 16, 0, 1476642
q1, d, c, 64, 32768, 16, 0, 87688
q1, r, h, 64, 32768, 16, 0, 76261
q1, d, h, 64, 32768, 16, 0, 87148
q1, r, c, 64, 32768, 16, 0, 1475433
q1, d, c, 64, 32768, 16, 0, 87918
q1, r, h, 64, 32768, 16, 0, 78396
q1, d, h, 64, 32768, 16, 0, 87616
q1, r, c, 64, 32768, 16, 0, 1476690
q1, d, c, 64, 32768, 16, 0, 87784
q1, r, h, 64, 32768, 16, 0, 76262
q1, d, h, 64, 32768, 16, 0, 139004
q1, r, c, 64, 32768, 16, 0, 1474552
q1, d, c, 64, 32768, 16, 0, 121472
q1, r, h, 64, 32768, 16, 0, 76249
q1, d, h, 64, 32768, 16, 0, 121057
q1, r, c, 64, 32768, 16, 0, 1476282
q1, d, c, 64, 32768, 16, 0, 89830
q1, r, h, 64, 32768, 16, 0, 76256
q1, d, h, 64, 32768, 16, 0, 87087
q1, r, c, 64, 32768, 16, 0, 1477787
q1, d, c, 64, 32768, 16, 0, 87735
q1, r, h, 64, 32768, 16, 0, 76203
q1, d, h, 64, 32768, 16, 0, 87473
q1, r, c, 64, 32768, 16, 0, 1476095
q1, d, c, 64, 32768, 16, 0, 87838
q1, r, h, 64, 32768, 16, 0, 79667
q1, d, h, 64, 32768, 16, 0, 87921
q1, r, c, 64, 32768, 16, 0, 1474295
q1, d, c, 64, 32768, 16, 0, 111505
q1, r, h, 64, 32768, 16, 0, 76271
q1, d, h, 64, 32768, 16, 0, 90519
q1, r, c, 64, 32768, 16, 0, 1477177
q1, d, c, 64, 32768, 16, 0, 87528
q1, r, h, 64, 32768, 16, 0, 76332
q1, d, h, 64, 32768, 16, 0, 87592
q1, r, c, 64, 32768, 16, 0, 1476992
q1, d, c, 64, 32768, 16, 0, 87743
q1, r, h, 64, 32768, 16, 0, 76212
q1, d, h, 64, 32768, 16, 0, 87777
q1, r, c, 64, 32768, 16, 0, 1476370
q1, d, c, 64, 32768, 16, 0, 87696
q1, r, h, 64, 32768, 16, 0, 79367
q1, d, h, 64, 32768, 16, 0, 87568
q1, r, c, 64, 32768, 16, 0, 1477321
q1, d, c, 64, 32768, 16, 0, 88741
q1, r, h, 64, 32768, 16, 0, 76204
q1, d, h, 64, 32768, 16, 0, 90060
q1, r, c, 64, 32768, 16, 0, 1477660
q1, d, c, 64, 32768, 16, 0, 87999
q1, r, h, 64, 32768, 16, 0, 76277
q1, d, h, 64, 32768, 16, 0, 87601
q1, r, c, 64, 32768, 16, 0, 1472815
q1, d, c, 64, 32768, 16, 0, 87787
q1, r, h, 64, 32768, 16, 0, 76264
q1, d, h, 64, 32768, 16, 0, 87997
q1, r, c, 64, 32768, 16, 0, 1474550
q1, d, c, 64, 32768, 16, 0, 87912
q1, r, h, 64, 32768, 16, 0, 76330
q1, d, h, 64, 32768, 16, 0, 87647
q1, r, c, 64, 32768, 16, 0, 1476753
q1, d, c, 64, 32768, 16, 0, 87889
q1, r, h, 64, 32768, 16, 0, 79037
q1, d, h, 64, 32768, 16, 0, 87877
q1, r, c, 64, 32768, 16, 0, 1473780
q1, d, c, 64, 32768, 16, 0, 87578
q1, r, h, 64, 32768, 16, 0, 76232
q1, d, h, 64, 32768, 16, 0, 89581
q1, r, c, 64, 32768, 16, 0, 1477958
q1, d, c, 64, 32768, 16, 0, 87519
q1, r, h, 64, 32768, 16, 0, 76345
q1, d, h, 64, 32768, 16, 0, 87268
q1, r, c, 64, 32768, 16, 0, 1477761
q1, d, c, 64, 32768, 16, 0, 87752
q1, r, h, 64, 32768, 16, 0, 76235
q1, d, h, 64, 32768, 16, 0, 87103
