bench, mem, temp, row_size, row_count, col_width, offset, cycles, l1_miss, l1_total, l2_miss, l2_total
q1, dc, c,64,32768,8,0,50118,102,262553,4108,8292
q1, dc, c,64,32768,8,0,52147,236,262552,4208,8294
q1, dc, c,64,32768,8,0,50129,93,262554,4179,8310
q1, dc, c,64,32768,8,0,50117,100,262552,4114,8296
q1, dc, c,64,32768,8,0,50118,92,262551,4106,8284
q1, dc, c,64,32768,8,0,50144,106,262552,4113,9155
q1, dc, c,64,32768,8,0,50083,97,262551,4114,8297
q1, dc, c,64,32768,8,0,50125,102,262551,4109,8305
q1, dc, c,64,32768,16,0,53881,162,295316,8209,16500
q1, dc, c,64,32768,16,0,53955,183,295319,8310,16522
q1, dc, c,64,32768,16,0,54073,169,297039,8212,16544
q1, dc, c,64,32768,16,0,53980,177,295317,8209,16532
q1, dc, c,64,32768,16,0,53919,165,298529,8212,16519
q1, dc, c,64,32768,16,0,54032,181,295318,8212,16498
q1, dc, c,64,32768,16,0,53885,156,295321,8210,16496
q1, dc, c,64,32768,16,0,53902,163,297982,8211,16533
q1, dc, c,64,32768,16,0,53943,158,295320,8208,16482
q1, dc, c,64,32768,16,0,53933,177,295321,8207,16523
